date,time,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h,AT,DPT,SLP,WD,WSR
20160102.0,0.0,92.0,68.0,59.0,78.0,73.0,16.0,15.0,67.0,60.0,28.0,103.0,37.0,81.0,0.787,0.911,97.0,62.0,10251.0,270.0,10.0
20160102.0,1.0,89.0,66.0,59.0,72.0,72.0,16.0,15.0,59.0,60.0,30.0,103.0,31.0,81.0,0.773,0.899,111.0,52.0,10248.0,270.0,10.0
20160102.0,2.0,89.0,66.0,59.0,68.0,72.0,16.0,16.0,55.0,59.0,32.0,103.0,29.0,81.0,0.785,0.8859999999999999,125.0,41.0,10246.0,270.0,10.0
20160102.0,3.0,88.0,65.0,59.0,65.0,71.0,16.0,15.0,50.0,59.0,34.0,103.0,29.0,81.0,0.79,0.878,139.0,31.0,10243.0,270.0,20.0
20160102.0,4.0,91.0,67.0,59.0,68.0,71.0,16.0,15.0,46.0,59.0,36.0,103.0,30.0,81.0,0.805,0.87,149.0,36.0,10234.0,270.0,20.0
20160102.0,5.0,92.0,68.0,60.0,71.0,71.0,16.0,15.0,49.0,59.0,33.0,103.0,30.0,81.0,0.841,0.863,159.0,41.0,10226.0,270.0,20.0
20160102.0,6.0,97.0,72.0,60.0,78.0,71.0,18.0,16.0,56.0,59.0,27.0,103.0,30.0,81.0,0.887,0.857,169.0,46.0,10217.0,270.0,30.0
20160102.0,7.0,99.0,74.0,61.0,79.0,71.0,19.0,16.0,68.0,58.0,17.0,103.0,29.0,81.0,0.998,0.848,162.0,30.0,10218.0,270.0,20.0
20160102.0,8.0,113.0,84.0,62.0,102.0,72.0,23.0,16.0,77.0,58.0,12.0,103.0,28.0,81.0,1.116,0.836,154.0,14.0,10218.0,280.0,20.0
20160102.0,9.0,136.0,103.0,63.0,135.0,77.0,32.0,17.0,83.0,58.0,15.0,103.0,26.0,81.0,1.281,0.8390000000000001,147.0,-2.0,10219.0,290.0,20.0
20160102.0,10.0,178.0,134.0,66.0,173.0,83.0,47.0,18.0,91.0,59.0,25.0,103.0,25.0,81.0,1.391,0.8540000000000001,127.0,10.0,10222.0,310.0,10.0
20160102.0,11.0,206.0,155.0,70.0,185.0,90.0,48.0,19.0,96.0,61.0,39.0,103.0,26.0,81.0,1.382,0.8759999999999999,107.0,23.0,10225.0,330.0,0.0
20160102.0,12.0,205.0,154.0,75.0,184.0,98.0,41.0,20.0,100.0,63.0,48.0,103.0,27.0,81.0,1.3090000000000002,0.899,87.0,35.0,10228.0,360.0,0.0
20160102.0,13.0,193.0,145.0,79.0,173.0,104.0,37.0,21.0,89.0,66.0,64.0,102.0,31.0,81.0,1.1909999999999998,0.919,82.0,38.0,10227.0,240.0,0.0
20160102.0,14.0,158.0,120.0,81.0,139.0,106.0,28.0,22.0,64.0,67.0,82.0,100.0,38.0,81.0,0.958,0.932,78.0,40.0,10225.0,120.0,0.0
20160102.0,15.0,122.0,92.0,83.0,104.0,108.0,23.0,22.0,57.0,69.0,86.0,96.0,46.0,81.0,0.884,0.941,73.0,43.0,10224.0,0.0,0.0
20160102.0,16.0,109.0,81.0,85.0,93.0,110.0,20.0,22.0,56.0,70.0,82.0,90.0,55.0,81.0,0.847,0.949,75.0,45.0,10221.0,30.0,0.0
20160102.0,17.0,103.0,76.0,86.0,101.0,111.0,21.0,23.0,75.0,71.0,63.0,87.0,61.0,80.0,0.93,0.958,77.0,48.0,10217.0,60.0,0.0
20160102.0,18.0,115.0,86.0,87.0,130.0,115.0,23.0,23.0,116.0,73.0,24.0,87.0,61.0,77.0,1.205,0.975,79.0,50.0,10214.0,90.0,10.0
20160102.0,19.0,133.0,101.0,89.0,137.0,119.0,24.0,23.0,117.0,75.0,21.0,87.0,59.0,72.0,1.345,0.995,83.0,53.0,10213.0,60.0,0.0
20160102.0,20.0,141.0,107.0,91.0,152.0,124.0,25.0,24.0,127.0,76.0,16.0,87.0,55.0,67.0,1.82,1.035,88.0,55.0,10211.0,30.0,0.0
20160102.0,21.0,156.0,118.0,93.0,183.0,129.0,26.0,24.0,132.0,78.0,14.0,87.0,49.0,63.0,2.291,1.095,92.0,58.0,10210.0,0.0,0.0
20160102.0,22.0,167.0,126.0,96.0,193.0,135.0,26.0,25.0,135.0,81.0,12.0,87.0,40.0,62.0,2.468,1.163,93.0,65.0,10214.0,120.0,0.0
20160102.0,23.0,181.0,136.0,98.0,197.0,140.0,26.0,25.0,135.0,83.0,13.0,87.0,31.0,62.0,2.705,1.241,94.0,73.0,10218.0,240.0,0.0
20160103.0,0.0,191.0,143.0,102.0,199.0,145.0,28.0,26.0,135.0,86.0,12.0,87.0,22.0,62.0,2.837,1.327,95.0,80.0,10222.0,360.0,0.0
20160103.0,1.0,199.0,149.0,105.0,197.0,150.0,30.0,26.0,129.0,89.0,12.0,87.0,16.0,62.0,2.623,1.404,109.0,81.0,10223.0,320.0,0.0
20160103.0,2.0,198.0,148.0,109.0,192.0,153.0,31.0,27.0,134.0,92.0,17.0,87.0,15.0,62.0,2.217,1.463,123.0,82.0,10224.0,280.0,0.0
20160103.0,3.0,196.0,147.0,112.0,187.0,155.0,31.0,27.0,131.0,96.0,11.0,87.0,13.0,62.0,1.957,1.5119999999999998,137.0,83.0,10225.0,250.0,10.0
20160103.0,4.0,206.0,155.0,116.0,195.0,157.0,29.0,28.0,123.0,99.0,10.0,87.0,13.0,62.0,1.77,1.5519999999999998,144.0,83.0,10216.0,230.0,10.0
20160103.0,5.0,217.0,166.0,120.0,194.0,159.0,27.0,28.0,116.0,102.0,10.0,87.0,12.0,62.0,1.695,1.588,150.0,84.0,10206.0,210.0,10.0
20160103.0,6.0,218.0,167.0,124.0,196.0,161.0,27.0,29.0,112.0,104.0,11.0,87.0,12.0,62.0,1.716,1.622,157.0,84.0,10197.0,200.0,10.0
20160103.0,7.0,215.0,164.0,127.0,197.0,164.0,24.0,29.0,109.0,106.0,10.0,87.0,12.0,62.0,1.727,1.652,155.0,86.0,10200.0,210.0,10.0
20160103.0,8.0,213.0,162.0,131.0,186.0,168.0,23.0,29.0,102.0,107.0,10.0,87.0,11.0,62.0,1.81,1.681,152.0,89.0,10203.0,230.0,10.0
20160103.0,9.0,215.0,164.0,133.0,184.0,170.0,26.0,28.0,103.0,108.0,11.0,87.0,11.0,62.0,1.907,1.7080000000000002,150.0,91.0,10206.0,250.0,10.0
20160103.0,10.0,215.0,164.0,134.0,180.0,171.0,33.0,28.0,110.0,109.0,14.0,87.0,11.0,62.0,1.847,1.727,135.0,90.0,10210.0,180.0,10.0
20160103.0,11.0,213.0,162.0,135.0,169.0,170.0,31.0,27.0,116.0,109.0,21.0,87.0,12.0,62.0,1.6740000000000002,1.739,119.0,88.0,10215.0,110.0,10.0
