date,time,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
20180102.0,0.0,50.0,35.0,98.0,41.0,84.0,13.0,15.0,78.0,69.0,34.0,92.0,35.0,77.0,0.878,1.32
20180102.0,1.0,46.0,32.0,84.0,39.0,72.0,12.0,14.0,58.0,67.0,53.0,90.0,53.0,53.0,0.8440000000000001,1.178
20180102.0,2.0,49.0,34.0,82.0,38.0,66.0,11.0,14.0,43.0,66.0,62.0,92.0,58.0,58.0,0.82,1.21
20180102.0,3.0,45.0,31.0,69.0,35.0,57.0,10.0,14.0,33.0,64.0,70.0,90.0,62.0,62.0,0.778,1.089
20180102.0,4.0,40.0,28.0,62.0,34.0,55.0,10.0,13.0,29.0,62.0,72.0,90.0,64.0,64.0,0.7440000000000001,1.044
20180102.0,5.0,39.0,27.0,63.0,32.0,58.0,10.0,14.0,28.0,59.0,70.0,92.0,65.0,65.0,0.74,1.09
20180102.0,6.0,36.0,25.0,52.0,33.0,50.0,10.0,13.0,34.0,57.0,66.0,90.0,66.0,66.0,0.733,0.9890000000000001
20180102.0,7.0,36.0,25.0,53.0,32.0,53.0,9.0,14.0,45.0,55.0,56.0,92.0,64.0,66.0,0.81,0.99
20180102.0,8.0,44.0,25.0,44.0,43.0,47.0,10.0,13.0,62.0,55.0,43.0,90.0,62.0,66.0,0.922,0.9329999999999999
20180102.0,9.0,53.0,30.0,40.0,54.0,46.0,11.0,13.0,59.0,54.0,48.0,90.0,61.0,66.0,0.9670000000000001,0.922
20180102.0,10.0,52.0,34.0,42.0,52.0,48.0,11.0,13.0,49.0,53.0,60.0,92.0,61.0,66.0,0.95,0.92
20180102.0,11.0,51.0,34.0,36.0,50.0,46.0,10.0,12.0,44.0,54.0,67.0,90.0,60.0,67.0,0.956,0.889
20180102.0,12.0,46.0,30.0,37.0,45.0,47.0,10.0,12.0,38.0,53.0,72.0,92.0,60.0,67.0,0.89,0.89
20180102.0,13.0,42.0,29.0,34.0,41.0,46.0,10.0,12.0,35.0,52.0,76.0,89.0,61.0,67.0,0.8440000000000001,0.87
20180102.0,14.0,46.0,28.0,33.0,45.0,45.0,10.0,12.0,40.0,52.0,70.0,88.0,62.0,67.0,0.81,0.88
20180102.0,15.0,45.0,24.0,32.0,44.0,45.0,9.0,11.0,42.0,53.0,63.0,83.0,63.0,68.0,0.789,0.89
