date,time,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
20170102.0,0.0,146.0,111.0,118.0,178.0,118.0,13.0,19.0,84.0,67.0,6.0,40.0,6.0,6.0,3.014,2.186
20170102.0,1.0,146.0,111.0,118.0,178.0,118.0,13.0,19.0,84.0,67.0,6.0,40.0,6.0,6.0,3.014,2.186
20170102.0,2.0,146.0,111.0,118.0,178.0,118.0,13.0,19.0,84.0,67.0,6.0,40.0,6.0,6.0,3.014,2.186
20170102.0,3.0,146.0,111.0,118.0,178.0,118.0,13.0,19.0,84.0,67.0,6.0,40.0,6.0,6.0,3.014,2.186
20170102.0,4.0,186.0,140.0,124.0,215.0,129.0,15.0,21.0,81.0,66.0,6.0,48.0,5.0,5.0,3.62,2.34
20170102.0,5.0,186.0,140.0,124.0,215.0,129.0,15.0,21.0,81.0,66.0,6.0,48.0,5.0,5.0,3.62,2.34
20170102.0,6.0,181.0,116.0,124.0,310.0,137.0,12.0,21.0,72.0,66.0,12.0,48.0,7.0,7.0,3.28,2.38
20170102.0,7.0,199.0,106.0,123.0,346.0,142.0,15.0,21.0,66.0,67.0,15.0,48.0,8.0,8.0,2.96,2.42
20170102.0,8.0,196.0,91.0,116.0,340.0,138.0,12.0,19.0,60.0,66.0,14.0,44.0,9.0,9.0,2.617,2.35
20170102.0,9.0,234.0,107.0,115.0,373.0,142.0,11.0,18.0,68.0,67.0,10.0,44.0,10.0,10.0,3.117,2.383
20170102.0,10.0,214.0,128.0,114.0,359.0,145.0,12.0,18.0,80.0,68.0,6.0,44.0,10.0,10.0,3.583,2.45
20170102.0,11.0,182.0,137.0,114.0,214.0,154.0,12.0,17.0,84.0,69.0,7.0,44.0,10.0,10.0,4.067,2.517
20170102.0,12.0,178.0,134.0,112.0,210.0,165.0,13.0,17.0,72.0,71.0,15.0,42.0,15.0,15.0,3.617,2.383
20170102.0,13.0,217.0,166.0,112.0,228.0,158.0,16.0,16.0,81.0,73.0,15.0,43.0,13.0,15.0,3.4,2.6
20170102.0,14.0,252.0,201.0,115.0,227.0,158.0,16.0,16.0,81.0,75.0,19.0,41.0,14.0,15.0,3.3139999999999996,2.6860000000000004
20170102.0,15.0,277.0,226.0,121.0,313.0,183.0,19.0,16.0,94.0,77.0,20.0,41.0,14.0,16.0,3.657,2.786
20170102.0,16.0,351.0,300.0,131.0,367.0,202.0,17.0,16.0,88.0,79.0,22.0,38.0,15.0,17.0,3.5,2.8569999999999998
20170102.0,17.0,328.0,277.0,140.0,354.0,206.0,18.0,16.0,80.0,80.0,21.0,33.0,16.0,19.0,3.2430000000000003,2.957
20170102.0,18.0,313.0,262.0,148.0,301.0,208.0,19.0,16.0,75.0,81.0,17.0,31.0,17.0,20.0,3.2,3.014
20170102.0,19.0,298.0,247.0,155.0,273.0,216.0,19.0,16.0,76.0,82.0,11.0,31.0,17.0,21.0,3.1289999999999996,3.0860000000000003
20170102.0,20.0,282.0,231.0,160.0,263.0,221.0,21.0,16.0,77.0,81.0,7.0,29.0,16.0,21.0,3.1,3.1
20170102.0,21.0,274.0,223.0,165.0,256.0,226.0,21.0,16.0,77.0,81.0,7.0,29.0,15.0,21.0,3.1430000000000002,3.157
20170102.0,22.0,258.0,207.0,169.0,269.0,231.0,22.0,16.0,77.0,81.0,7.0,29.0,14.0,21.0,3.1289999999999996,3.1710000000000003
20170102.0,23.0,265.0,214.0,174.0,275.0,234.0,23.0,17.0,74.0,80.0,8.0,29.0,12.0,21.0,2.957,3.1860000000000004
20170103.0,0.0,260.0,209.0,177.0,275.0,239.0,24.0,17.0,67.0,79.0,12.0,32.0,11.0,21.0,2.6430000000000002,3.1860000000000004
20170103.0,1.0,252.0,201.0,181.0,264.0,244.0,25.0,17.0,66.0,77.0,13.0,32.0,13.0,13.0,2.6710000000000003,3.1860000000000004
20170103.0,2.0,251.0,200.0,181.0,282.0,224.0,24.0,18.0,77.0,78.0,8.0,32.0,11.0,14.0,3.167,3.2
20170103.0,3.0,281.0,230.0,188.0,327.0,230.0,24.0,18.0,82.0,78.0,6.0,32.0,9.0,14.0,3.383,3.233
20170103.0,4.0,283.0,232.0,195.0,330.0,258.0,23.0,19.0,80.0,78.0,7.0,32.0,8.0,13.0,3.157,3.2430000000000003
20170103.0,5.0,234.0,183.0,196.0,365.0,241.0,23.0,17.0,87.0,88.0,6.0,30.0,8.0,15.0,3.5,3.6
20170103.0,6.0,225.0,174.0,196.0,268.0,240.0,24.0,19.0,75.0,79.0,9.0,32.0,8.0,14.0,3.283,3.25
20170103.0,7.0,210.0,131.0,196.0,356.0,243.0,20.0,19.0,57.0,79.0,20.0,30.0,10.0,15.0,2.667,3.267
20170103.0,8.0,263.0,147.0,201.0,393.0,265.0,18.0,20.0,67.0,76.0,15.0,30.0,10.0,14.0,3.286,3.2289999999999996
20170103.0,9.0,242.0,171.0,203.0,378.0,268.0,12.0,19.0,64.0,76.0,15.0,31.0,11.0,15.0,3.2289999999999996,3.2289999999999996
20170103.0,10.0,230.0,179.0,205.0,362.0,270.0,10.0,19.0,65.0,75.0,15.0,31.0,12.0,15.0,3.4,3.2
